Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 20:10:00,1.20719,1.20749,1.20715,1.20721,1095.8
2003.12.02 20:11:00,1.20716,1.20737,1.20713,1.20737,291.6
2003.12.02 20:12:00,1.20727,1.20737,1.20691,1.20695,2219.3
2003.12.02 20:13:00,1.20704,1.2073,1.20704,1.20717,960.9
2003.12.02 20:14:00,1.20703,1.20716,1.207,1.207,415.3
2003.12.02 20:15:00,1.20692,1.2072,1.20692,1.2072,350.4
2003.12.02 20:16:00,1.20716,1.20723,1.20694,1.20702,788.4
2003.12.02 20:17:00,1.20708,1.20729,1.20699,1.20729,618
2003.12.02 20:18:00,1.20732,1.20739,1.20704,1.20712,540.6
2003.12.02 20:19:00,1.20733,1.2075,1.2072,1.20721,645.5
2003.12.02 20:20:00,1.20722,1.20736,1.20719,1.20736,840.9
2003.12.02 20:21:00,1.20724,1.20738,1.20718,1.20725,1837.5
2003.12.02 20:22:00,1.2073,1.20764,1.20714,1.20721,1157.2
2003.12.02 20:23:00,1.2072,1.2076,1.2071,1.2073,2900
2003.12.02 20:24:00,1.20736,1.20768,1.20711,1.20727,1645.2
2003.12.02 20:25:00,1.20725,1.20751,1.20724,1.20751,796.7
2003.12.02 20:26:00,1.20734,1.20745,1.20723,1.20737,1221.4
2003.12.02 20:27:00,1.20752,1.20776,1.20741,1.20746,931.2
2003.12.02 20:28:00,1.20718,1.20746,1.20718,1.2072,408.4
2003.12.02 20:29:00,1.20729,1.20742,1.20718,1.20742,544.3
2003.12.02 20:30:00,1.2073,1.20759,1.20713,1.20729,1315
2003.12.02 20:31:00,1.20727,1.20738,1.2071,1.20725,558.9
2003.12.02 20:32:00,1.20742,1.20742,1.20707,1.20718,1209.2
2003.12.02 20:33:00,1.20696,1.20724,1.2068,1.20694,943.7
2003.12.02 20:34:00,1.20707,1.20717,1.20681,1.20699,1696.8
2003.12.02 20:35:00,1.20696,1.20738,1.20684,1.20707,1129.9
2003.12.02 20:36:00,1.20725,1.20728,1.20685,1.207,1414.9
2003.12.02 20:37:00,1.20725,1.20729,1.20697,1.20714,1385.8
2003.12.02 20:38:00,1.20714,1.20746,1.20713,1.20733,848.8
2003.12.02 20:39:00,1.20726,1.20743,1.20701,1.20712,1355.4
2003.12.02 20:40:00,1.2072,1.20733,1.20696,1.20702,2356.4
2003.12.02 20:41:00,1.2069,1.20734,1.2069,1.20721,1364.9
2003.12.02 20:42:00,1.20721,1.20742,1.20711,1.20737,1379.8
2003.12.02 20:43:00,1.20718,1.20737,1.20718,1.20718,338.6
2003.12.02 20:44:00,1.20719,1.20768,1.20717,1.20765,768.6
2003.12.02 20:45:00,1.20761,1.20762,1.20711,1.20711,1370.6
2003.12.02 20:46:00,1.20714,1.20735,1.20709,1.20727,565
2003.12.02 20:47:00,1.20733,1.20766,1.20731,1.20763,922.6
2003.12.02 20:48:00,1.20745,1.20769,1.20724,1.20737,1427.2
2003.12.02 20:49:00,1.20744,1.20763,1.20736,1.20736,958.8
2003.12.02 20:50:00,1.20772,1.20785,1.20733,1.20745,743.6
2003.12.02 20:51:00,1.20733,1.20763,1.20714,1.20753,494.9
2003.12.02 20:52:00,1.20735,1.20774,1.20732,1.20763,1930.6
2003.12.02 20:53:00,1.20735,1.2075,1.20716,1.20724,770
2003.12.02 20:54:00,1.20738,1.20755,1.20708,1.20709,357.6
2003.12.02 20:55:00,1.20729,1.20749,1.20728,1.20729,499.1
2003.12.02 20:56:00,1.20742,1.20758,1.2071,1.20735,418.7
2003.12.02 20:57:00,1.2073,1.20755,1.20725,1.20744,955.5
2003.12.02 20:58:00,1.20729,1.20742,1.20718,1.20719,957.4
2003.12.02 20:59:00,1.20735,1.20754,1.20709,1.20728,1458.1
2003.12.02 21:00:00,1.2068,1.20769,1.2068,1.20769,462.1
2003.12.02 21:01:00,1.20747,1.20753,1.20734,1.20744,466.6
2003.12.02 21:02:00,1.20757,1.20757,1.20736,1.2075,372.5
2003.12.02 21:03:00,1.2077,1.20773,1.20746,1.20746,647.8
2003.12.02 21:04:00,1.2075,1.20755,1.2073,1.20734,643.9
2003.12.02 21:05:00,1.20729,1.20737,1.20724,1.20735,677.5
2003.12.02 21:06:00,1.20728,1.20747,1.20721,1.20735,568.7
2003.12.02 21:07:00,1.20735,1.20751,1.20729,1.20736,653.1
2003.12.02 21:08:00,1.20742,1.20745,1.20732,1.20739,428.3
2003.12.02 21:09:00,1.20746,1.20774,1.20742,1.20757,716.2
2003.12.02 21:10:00,1.20746,1.20761,1.20745,1.20757,694.8
2003.12.02 21:11:00,1.20752,1.20756,1.20737,1.20737,731.6
2003.12.02 21:12:00,1.20715,1.20742,1.20706,1.20706,651.7
2003.12.02 21:13:00,1.20708,1.20742,1.20708,1.20742,508.6
2003.12.02 21:14:00,1.20731,1.20751,1.20718,1.20736,404.5
2003.12.02 21:15:00,1.20734,1.20766,1.2073,1.20755,439.7
2003.12.02 21:16:00,1.20735,1.20757,1.2073,1.2075,687.1
2003.12.02 21:17:00,1.20734,1.20768,1.20734,1.20768,427.1
2003.12.02 21:18:00,1.20756,1.20768,1.20753,1.20765,699.1
2003.12.02 21:19:00,1.20732,1.20757,1.20732,1.20755,679.7
2003.12.02 21:20:00,1.2075,1.20776,1.20739,1.20763,474.9
2003.12.02 21:21:00,1.20751,1.20772,1.20707,1.20772,716.3
2003.12.02 21:22:00,1.20773,1.20789,1.20761,1.20779,461.5
2003.12.02 21:23:00,1.20774,1.2082,1.20771,1.20799,298.3
2003.12.02 21:24:00,1.20793,1.20823,1.2079,1.20804,550
2003.12.02 21:25:00,1.20802,1.20846,1.208,1.20841,634.8
2003.12.02 21:26:00,1.20802,1.20831,1.20802,1.2082,567.8
2003.12.02 21:27:00,1.20822,1.20835,1.20798,1.20801,354.1
2003.12.02 21:28:00,1.20815,1.20815,1.20795,1.20798,326
2003.12.02 21:29:00,1.20805,1.20813,1.20789,1.20801,632.1
2003.12.02 21:30:00,1.20829,1.20839,1.20812,1.20827,397.6
2003.12.02 21:31:00,1.20829,1.20838,1.20812,1.20825,513.4
2003.12.02 21:32:00,1.2083,1.20834,1.20797,1.20797,683.8
2003.12.02 21:33:00,1.20798,1.2082,1.20797,1.2082,323.4
